Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
uf20-0462,1621,20,91,0.01,0.01,0
prova,2539,50,268,0.04,0.04,0
bmc-ibm-3,13467,14930,72106,56.26,55.35,0.53
bmc-ibm-1,21731,9685,55870,62.2,61.13,0.47
bmc-ibm-2,94940,2810,11683,53.71,53.1,0.54
flat30-36,231772,90,300,3.91,3.57,0.3
uf50-01,480481,50,218,6.99,6.58,0.41
flat175-34,568693,525,1951,45.32,44.36,0.88
flat175-44,594166,525,1951,48.17,46.64,0.9
flat125-77,823697,375,1403,47.88,46.38,01.04
flat125-55,852061,375,1403,52.63,50.75,1.22
uf250-01,985382,250,1065,67.6,65.83,1.27
uf225-01,1112791,225,960,68.19,66.09,1.36
uf200-01,1215206,200,860,67.8,65.96,1.39
flat75-33,1374335,225,840,50.12,47.73,1.45
flat75-90,1401674,225,840,49.86,48.02,1.59
uf175-01,1457154,175,753,71.73,68.66,1.56
uf150-01,1719560,150,645,73.73,71.17,2.18
uf125-01,2062434,125,538,70.42,67.66,1.97
uf75-01,2129068,75,325,45.8,43.01,2.21
uf100-01,2451602,100,430,67.69,64.43,2.94
pombos-10,2844584,110,561,62.6,59.14,03.05
flat30-97,3679939,90,300,52.53,47.89,3.89
