Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,0.39,0.39,0
uf200-01,1215206,200,860,0.22,0.22,0
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,0.11,0.11,0
flat125-77,823697,375,1403,0.15,0.15,0
flat175-34,568693,525,1951,0.11,0.1,0
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0,0,0
flat75-33,1374335,225,840,0.26,0.25,0
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,0.67,0.67,0
pombos-10,2844584,110,561,0.54,0.54,0
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,0.09,0.08,0
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,0.39,0.39,0
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,0.21,0.21,0
uf175-01,1457154,175,753,0.27,0.27,0
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,0.26,0.26,0
bmc-ibm-3,13467,14930,72106,0.04,0.03,0
uf100-01,2451602,100,430,0.45,0.45,0
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,0.03,0.03,0
uf250-01,985382,250,1065,0.19,0.19,0
bmc-ibm-2,94940,2810,11683,0.02,0.02,0
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,0.16,0.16,0
flat30-36,231772,90,300,0.04,0.04,0
uf150-01,1719560,150,645,0.33,0.33,0
