Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,64.72,64.38,0.33
uf200-01,1215206,200,860,63.07,62.83,0.23
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,44.33,44.23,0.09
flat125-77,823697,375,1403,44.19,44.03,0.15
flat175-34,568693,525,1951,42.4,42.28,0.11
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.04,0.03,0
flat75-33,1374335,225,840,45.34,45.06,0.27
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,45.21,44.59,0.61
pombos-10,2844584,110,561,55.78,55.33,0.44
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,6.11,6.06,0.04
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,40.75,40.41,0.33
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,63.17,62.99,0.18
uf175-01,1457154,175,753,65.16,64.94,0.21
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,45.73,45.51,0.21
bmc-ibm-3,13467,14930,72106,52.44,52.38,0.05
uf100-01,2451602,100,430,62.04,61.62,0.41
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,58.28,58.24,0.04
uf250-01,985382,250,1065,62.96,62.85,0.11
bmc-ibm-2,94940,2810,11683,49.59,49.55,0.04
uf20-0462,1621,20,91,0.01,0.01,0
flat125-55,852061,375,1403,46.06,45.91,0.13
flat30-36,231772,90,300,2.84,2.8,0.04
uf150-01,1719560,150,645,64.16,63.88,0.27
