Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0.02,0.01,0
uf20-0462,1621,20,91,0.03,0.01,0.01
prova,2539,50,268,0.07,0.06,0.01
bmc-ibm-3,13467,14930,72106,54.13,52.83,0.79
bmc-ibm-1,21731,9685,55870,62.21,60.76,01.03
bmc-ibm-2,94940,2810,11683,189.52,182.74,8.68
flat30-36,231772,90,300,06.05,3.9,2.74
uf50-01,480481,50,218,18.66,12.5,8.14
flat175-34,568693,525,1951,55.41,49.55,7.28
flat175-44,594166,525,1951,131.74,115.41,21.49
flat125-77,823697,375,1403,75.43,65.37,12.79
flat125-55,852061,375,1403,228.33,193.95,45.77
uf250-01,985382,250,1065,83.12,73.81,11.71
uf225-01,1112791,225,960,85.12,74.69,12.71
uf200-01,1215206,200,860,99.34,85.89,17.46
flat75-33,1374335,225,840,148.12,117.15,40.78
flat75-90,1401674,225,840,69.36,57,16.01
uf175-01,1457154,175,753,130.85,109.55,25.75
uf150-01,1719560,150,645,92.88,77.79,19.75
uf125-01,2062434,125,538,129.11,103.33,33.68
uf75-01,2129068,75,325,230.25,168.84,82.87
uf100-01,2451602,100,430,225.5,176,67.04
pombos-10,2844584,110,561,405.42,302.45,141.18
flat30-97,3679939,90,300,117.17,75.96,51.05
