Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0.04,0.02,0.04
uf20-0462,1621,20,91,0.05,0.01,0.07
prova,2539,50,268,0.09,0.07,0.09
bmc-ibm-3,13467,14930,72106,49.35,118.84,40.92
bmc-ibm-1,21731,9685,55870,47.54,124.75,34.03
bmc-ibm-2,94940,2810,11683,42.45,104.67,28.92
flat30-36,231772,90,300,8.46,5.65,9.71
uf50-01,480481,50,218,17.23,10.9,20
flat175-34,568693,525,1951,52.75,88.29,43.41
flat175-44,594166,525,1951,54.11,92.05,42.85
flat125-77,823697,375,1403,58.08,88.15,50.1
flat125-55,852061,375,1403,60.41,92.09,51.26
uf250-01,985382,250,1065,65.24,106.02,63.36
uf225-01,1112791,225,960,68.99,107.79,69.03
uf200-01,1215206,200,860,71.38,106.79,71.4
flat75-33,1374335,225,840,69.67,84.69,66.24
flat75-90,1401674,225,840,69.57,82.57,66.94
uf175-01,1457154,175,753,75.62,100.95,74.32
uf150-01,1719560,150,645,78.9,93.08,78.61
uf125-01,2062434,125,538,88.14,90.56,89.57
uf75-01,2129068,75,325,79.64,60.81,87.82
uf100-01,2451602,100,430,97.33,84.94,102.87
pombos-10,2844584,110,561,108.8,92.27,118.91
flat30-97,3679939,90,300,134.45,88.91,155.25
