Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0.04,0.03,0.03
uf20-0462,1621,20,91,0.05,0.03,0.05
prova,2539,50,268,0.09,0.06,0.11
bmc-ibm-3,13467,14930,72106,54.76,125.68,40.16
bmc-ibm-1,21731,9685,55870,52.16,130.01,33.59
bmc-ibm-2,94940,2810,11683,48.43,113.42,31.05
flat30-36,231772,90,300,8.89,5.85,9.9
uf50-01,480481,50,218,18.19,11.85,20.11
flat175-34,568693,525,1951,57.56,93.17,42.64
flat175-44,594166,525,1951,59.87,97.35,44.06
flat125-77,823697,375,1403,63.19,92.17,50.07
flat125-55,852061,375,1403,66.87,99.16,51.59
uf250-01,985382,250,1065,72.45,114.78,64.66
uf225-01,1112791,225,960,75.07,113.96,68.49
uf200-01,1215206,200,860,78.3,113.52,71.2
flat75-33,1374335,225,840,75.6,90.44,66
flat75-90,1401674,225,840,75.42,88.56,67.01
uf175-01,1457154,175,753,82.93,107.05,74.99
uf150-01,1719560,150,645,86.12,99.23,79.49
uf125-01,2062434,125,538,94.99,97.43,89.7
uf75-01,2129068,75,325,84.5,66.11,87.91
uf100-01,2451602,100,430,103.53,92.05,101.87
pombos-10,2844584,110,561,113.52,97.21,118.49
flat30-97,3679939,90,300,141.61,95.01,156.41
