Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
uf20-0462,1621,20,91,0,0,0
prova,2539,50,268,0.03,0.03,0
bmc-ibm-3,13467,14930,72106,40.1,40.06,0.04
bmc-ibm-1,21731,9685,55870,43.24,43.19,0.04
bmc-ibm-2,94940,2810,11683,39.73,39.69,0.03
flat30-36,231772,90,300,2.19,2.19,0
uf50-01,480481,50,218,4.71,4.7,0
flat175-34,568693,525,1951,32.99,32.96,0.02
flat175-44,594166,525,1951,34.57,34.51,0.05
flat125-77,823697,375,1403,34.23,34.18,0.04
flat125-55,852061,375,1403,35.67,35.6,0.06
uf250-01,985382,250,1065,45.92,45.87,0.04
uf225-01,1112791,225,960,46.12,46.08,0.03
uf200-01,1215206,200,860,46,45.95,0.04
flat75-33,1374335,225,840,34.9,34.87,0.02
flat75-90,1401674,225,840,35.29,35.26,0.02
uf175-01,1457154,175,753,47.71,47.67,0.04
uf150-01,1719560,150,645,47.7,47.65,0.04
uf125-01,2062434,125,538,48.45,48.43,0.01
uf75-01,2129068,75,325,31.16,31.13,0.03
uf100-01,2451602,100,430,46.58,46.54,0.03
pombos-10,2844584,110,561,42.05,42.01,0.03
flat30-97,3679939,90,300,34.86,34.82,0.03
