Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,25.03,21.45,3.58
uf200-01,1215206,200,860,21.68,19.22,2.2
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,14.53,13.25,1.27
flat125-77,823697,375,1403,15.26,13.54,1.71
flat175-34,568693,525,1951,14.18,12.76,1.27
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.02,0.01,0
flat75-33,1374335,225,840,18.11,15.6,2.27
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,23.76,17.9,5.85
pombos-10,2844584,110,561,21.48,16.53,4.95
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,3.49,2.66,0.83
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,19.5,16.07,3.42
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,20.27,18.15,2.01
uf175-01,1457154,175,753,22.84,19.76,2.73
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,17.84,15.22,2.55
bmc-ibm-3,13467,14930,72106,17.84,17.3,0.54
uf100-01,2451602,100,430,26.37,22.28,4.09
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,14.29,13.77,0.51
uf250-01,985382,250,1065,19.78,17.68,1.95
bmc-ibm-2,94940,2810,11683,12.42,11.95,0.46
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,15.96,14.29,1.66
flat30-36,231772,90,300,1.66,1.11,0.44
uf150-01,1719560,150,645,22.64,19.63,3
