Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
uf20-0462,1621,20,91,0,0,0
prova,2539,50,268,0,0,0
bmc-ibm-3,13467,14930,72106,8.43,8.42,0.01
bmc-ibm-1,21731,9685,55870,5.87,5.86,0
bmc-ibm-2,94940,2810,11683,4.61,4.61,0
flat30-36,231772,90,300,0.51,0.51,0
uf50-01,480481,50,218,1.26,1.26,0
flat175-34,568693,525,1951,4.67,4.66,0
flat175-44,594166,525,1951,4.97,4.97,0
flat125-77,823697,375,1403,5.1,5.1,0
flat125-55,852061,375,1403,5.45,5.45,0
uf250-01,985382,250,1065,7.89,7.89,0
uf225-01,1112791,225,960,08.05,08.05,0
uf200-01,1215206,200,860,8.78,8.7,0.07
flat75-33,1374335,225,840,5.79,5.79,0
flat75-90,1401674,225,840,5.76,5.76,0
uf175-01,1457154,175,753,8.83,8.82,0
uf150-01,1719560,150,645,8.99,8.99,0
uf125-01,2062434,125,538,9.66,9.66,0
uf75-01,2129068,75,325,7.48,7.48,0
uf100-01,2451602,100,430,10.19,10.19,0
pombos-10,2844584,110,561,5.95,5.95,0
flat30-97,3679939,90,300,7.36,7.35,0.01
