

Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,97.78,52.56,94.13
uf200-01,1215206,200,860,64.29,38.06,55.77
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,35.28,22.16,26.66
flat125-77,823697,375,1403,44.45,25.76,37.37
flat175-34,568693,525,1951,33.84,21.44,25.39
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.11,0.08,0.09
flat75-33,1374335,225,840,66.89,35.86,62.2
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,156.3,69.78,168.41
pombos-10,2844584,110,561,125.28,59.9,129.18
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,21.15,10.45,22.13
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,96.79,49.65,97.83
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,59.12,35.7,50.46
uf175-01,1457154,175,753,74.2,42.75,67.19
uf20-0123,121,20,91,0,0,0.01
uf20-018,1290,20,91,0.05,0.02,0.06
flat75-90,1401674,225,840,67.21,35.62,63.3
bmc-ibm-3,13467,14930,72106,13.99,13.91,0.66
uf100-01,2451602,100,430,116.99,62.26,115.18
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,12.59,12.24,1.2
uf250-01,985382,250,1065,55.65,34.27,46.1
bmc-ibm-2,94940,2810,11683,13.94,12,4.59
uf20-0462,1621,20,91,0.06,0.02,0.07
flat125-55,852061,375,1403,47.03,25.92,37.81
flat30-36,231772,90,300,10.04,4.41,10.82
uf150-01,1719560,150,645,85.12,46.83,80

