Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,120.5,60.51,108.66
uf200-01,1215206,200,860,89.08,51.04,78.56
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,42.33,26.15,32.35
flat125-77,823697,375,1403,53.92,30.95,45.42
flat175-34,568693,525,1951,38.51,23.9,29.3
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.12,0.07,0.11
flat75-33,1374335,225,840,63.02,33.1,59.68
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,145.38,63.93,160.06
pombos-10,2844584,110,561,116.27,53.91,124.14
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,19.38,9.57,20.65
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,89.81,45.66,92.78
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,56.32,33.16,49.17
uf175-01,1457154,175,753,70.66,40.04,63.99
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.05,0.02,0.05
flat75-90,1401674,225,840,63.99,33.5,60.92
bmc-ibm-3,13467,14930,72106,14.71,15.5,1.6
uf100-01,2451602,100,430,106.65,57.06,105.77
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,13.79,15.05,2.42
uf250-01,985382,250,1065,50.96,31.55,42.91
bmc-ibm-2,94940,2810,11683,15.65,16.11,6.57
uf20-0462,1621,20,91,0.06,0.03,0.06
flat125-55,852061,375,1403,44.14,26.09,36.98
flat30-36,231772,90,300,9.08,4.22,9.82
uf150-01,1719560,150,645,78.06,43.94,73.78
