Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,84.56,39.8,85.21
uf200-01,1215206,200,860,53.21,26.86,53.04
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,26.58,13.64,26.67
flat125-77,823697,375,1403,35.4,17.14,37.32
flat175-34,568693,525,1951,25.72,12.8,26.13
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.1,0.06,0.1
flat75-33,1374335,225,840,56.48,25.46,62.07
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,131.53,54.4,156.64
pombos-10,2844584,110,561,100.41,43.97,118.21
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,17.13,7.97,19.96
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,77.24,37.45,88.48
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,43.72,22.6,46.89
uf175-01,1457154,175,753,55.94,29.03,60.52
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.04,0.02,0.04
flat75-90,1401674,225,840,51.12,23.99,57.49
bmc-ibm-3,13467,14930,72106,6.36,7.53,0.98
uf100-01,2451602,100,430,90.74,45.24,101.82
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,5.83,7.31,1.29
uf250-01,985382,250,1065,40.33,21.85,41.74
bmc-ibm-2,94940,2810,11683,7.09,5.06,4.38
uf20-0462,1621,20,91,0.06,0.02,0.07
flat125-55,852061,375,1403,36.2,17.28,38.08
flat30-36,231772,90,300,8.94,3.68,10.37
uf150-01,1719560,150,645,73.02,35.66,78.6
