Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,30.05,29.16,0.3
uf200-01,1215206,200,860,27.18,26.87,0.3
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,29.37,29,0.35
flat125-77,823697,375,1403,28.95,28.27,0.33
flat175-34,568693,525,1951,27.88,27.18,0.4
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.01,0.01,0
flat75-33,1374335,225,840,27.84,27.37,0.26
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,28.38,27.92,0.27
pombos-10,2844584,110,561,28.75,28.26,0.33
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,3.05,3.01,0.03
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,19.02,18.6,0.23
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,27.35,26.86,0.36
uf175-01,1457154,175,753,28.05,27.54,0.29
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,27.59,27.16,0.23
bmc-ibm-3,13467,14930,72106,27.97,27.58,0.38
uf100-01,2451602,100,430,29.15,28.54,0.35
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,27.14,26.78,0.35
uf250-01,985382,250,1065,27.16,26.87,0.29
bmc-ibm-2,94940,2810,11683,28.3,27.98,0.32
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,28.24,27.86,0.38
flat30-36,231772,90,300,1.74,1.72,0.01
uf150-01,1719560,150,645,27.9,27.62,0.28
